vf_precinct_id,vf_precinct_county,vf_precinct_ward,vf_precinct_name,vf_precinct_code,vf_precinct_count
2266,LATAH,,Moscow 03,03MOS,480
22113,NEZ PERCE,,Nez Perce - 26,26,578
22151,ADA,,Ada - 1418,1418,1176
22117,KOOTENAI,,Kootenai - 49,49,484
22484,FREMONT,,Fremont - 008,8,346
2284,NEZ PERCE,,Nez Perce - 16,16,401
2272,ADA,,Ada - 1913,1913,790
22128,TWIN FALLS,,Twin Falls 12,TF012,490
22778,FREMONT,,Fremont - 010,10,320
2297,LATAH,,Moscow 17,17MOS,498
22710,TWIN FALLS,,Twin Falls 26,TF026,475
2237,BONNEVILLE,,Bonneville - 13,13,627
22171,ADA,,Ada - 1608,1608,751
22552,FRANKLIN,,Clifton-Oxford 7,7,138
22721,KOOTENAI,,Kootenai - 29,29,443
22455,BANNOCK,,Pocatello 37,37,413
22509,LEMHI,,Pahsimeroi,7,45
22194,ADA,,Ada - 1917,1917,648
22771,BONNEVILLE,,Bonneville - 42,42,281
22623,BONNER,,Grouse Creek,GRCK,354
22773,MADISON,,Madison - 004,4,200
22615,BONNER,,Algoma,ALGO,460
22896,FRANKLIN,,Treasurton-Riverdale 14,14,157
22520,BLAINE,,Blaine - 007,7,477
22793,KOOTENAI,,Kootenai - 03,3,665
22755,OWYHEE,,Grand View,9,277
22343,CASSIA,,Burley 4,104,362
22213,TWIN FALLS,,Kimberly 4,KI004,419
22893,BEAR LAKE,,Dingle,8,86
22656,GEM,,04 South Emmett,04-SE,428
22915,BLAINE,,Blaine - 016,16,4
22668,ADA,,Ada - 2203,2203,888
22134,BANNOCK,,Chubbuck 58,58,276
22532,NEZ PERCE,,Nez Perce - 03,3,518
22648,NEZ PERCE,,Nez Perce - 30,30,98
22701,CANYON,,Canyon - 01,1,872
22387,MADISON,,Madison - 011,11,240
22762,NEZ PERCE,,Nez Perce - 31,31,243
22327,CASSIA,,Burley 7,107,130
22569,KOOTENAI,,Kootenai - 33,33,363
22775,MADISON,,Madison - 006,6,432
22425,POWER,,Power - 004,4,156
22714,TWIN FALLS,,Castleford,CA001,337
22368,BOISE,,Mores Creek,70,689
22492,TWIN FALLS,,Twin Falls 04,TF004,542
22309,TWIN FALLS,,Twin Falls 21,TF021,449
22282,VALLEY,,Alpha,1,214
2216,BANNOCK,,Pocatello 25,25,363
22445,NEZ PERCE,,Nez Perce - 15,15,343
22391,BANNOCK,,Pocatello 02,2,410
22846,CASSIA,,Elba,112,65
224,BONNEVILLE,,Bonneville - 49,49,590
22129,BANNOCK,,Pocatello 14,14,450
22506,BONNEVILLE,,Bonneville - 07,7,380
22647,KOOTENAI,,Kootenai - 05,5,800
22834,SHOSHONE,,Shoshone - 08,8,223
22461,BINGHAM,,Blackfoot 4,4,505
22828,OWYHEE,,Murphy,7,130
22126,IDAHO,,Grangeville 4,13,417
2274,BANNOCK,,Pocatello 24,24,363
22267,BANNOCK,,Pocatello 41,41,409
22809,LEMHI,,Iron Creek,6,123
22212,ADA,,Ada - 1808,1808,890
22504,ADA,,Ada - 2011,2011,728
22544,BONNEVILLE,,Bonneville - 21,21,530
22568,ADA,,Ada - 2202,2202,725
22533,CASSIA,,Grandview,113,228
22854,ELMORE,,Hammett,HA #1,133
22605,BONNER,,Westmond,WMND,442
22160,CANYON,,Canyon - 80,80,924
22370,CARIBOU,,Soda 3,106,223
22735,BONNER,,Priest Lake,PRLK,110
22684,BLAINE,,Blaine - 013,13,623
22779,FRANKLIN,,Weston 15,15,226
22411,KOOTENAI,,Kootenai - 60,60,315
22894,BEAR LAKE,,Liberty,12,112
22403,BONNEVILLE,,Bonneville - 22,22,384
22477,POWER,,Power - 005,5,62
22182,ADA,,Ada - 1910,1910,1181
2213,BONNEVILLE,,Bonneville - 03,3,398
22373,MADISON,,Madison - 019,19,323
22470,CANYON,,Canyon - 40,40,734
2287,LATAH,,Moscow 16,16MOS,443
22671,CANYON,,Canyon - 32,32,461
22550,KOOTENAI,,Kootenai - 19,19,651
22121,BONNER,,Clark Fork,CKFK,359
22857,KOOTENAI,,Kootenai - 64,64,352
22493,CANYON,,Canyon - 53,53,731
22644,BOUNDARY,,Copeland,2,312
22813,FRANKLIN,,Thatcher 13,13,68
22922,CLARK,,Clark - 002,2,65
2228,ADA,,Ada - 2108,2108,631
2221,BANNOCK,,Pocatello 12,12,414
22361,TWIN FALLS,,Twin Falls 16,TF016,440
222,ADA,,Ada - 1911,1911,811
2293,ADA,,Ada - 1807,1807,1079
22853,OWYHEE,,Pleasant Valley,5,37
22254,JEFFERSON,,Menan,9,379
22339,BEAR LAKE,,Montpelier 2,2,227
22844,FRANKLIN,,Franklin 10,10,279
22296,LATAH,,Moscow 13,13MOS,337
22111,KOOTENAI,,Kootenai - 57,57,452
22241,PAYETTE,,Payette - 002,2,1003
22555,BONNER,,Sagle,SAGL,641
22410,KOOTENAI,,Kootenai - 54,54,587
2232,ADA,,Ada - 1603,1603,1274
22576,BENEWAH,,Plummer,6,481
22201,GOODING,,4 Wendell City,P4,560
22127,ADA,,Ada - 1815,1815,923
22578,KOOTENAI,,Kootenai - 43,43,669
22739,VALLEY,,Donnelly,3,50
22856,FRANKLIN,,Fairview 9,9,207
22423,BONNEVILLE,,Bonneville - 16,16,531
22453,TWIN FALLS,,Hollister,HO001,315
22259,JEFFERSON,,Terreton,17,256
22124,TWIN FALLS,,Twin Falls 03,TF003,540
22349,CASSIA,,Burley 3,103,346
22106,KOOTENAI,,Kootenai - 08,8,869
22364,CANYON,,Canyon - 41,41,994
22680,KOOTENAI,,Kootenai - 07,7,907
22557,BOUNDARY,,North Bonners Ferry,6,620
22561,ADA,,Ada - 2208,2208,926
22112,KOOTENAI,,Kootenai - 45,45,652
2227,ADA,,Ada - 1611,1611,818
22204,ELMORE,,Mt. Home #3,MH #3,557
22750,CANYON,,Canyon - 26,26,780
22646,KOOTENAI,,Kootenai - 67,67,279
