precinct_id,county,precinct_name,precinct_number,ward,polling_location_ids,source,INTERNAL_notes
330070011,BEAR LAKE,16,16,,440070011,Idaho Elections Division,
330070012,BEAR LAKE,10,10,,440070012,Idaho Elections Division,
330070013,BEAR LAKE,13,13,,440070013,Idaho Elections Division,
330070014,BEAR LAKE,15,15,,440070014,Idaho Elections Division,
330090001,BENEWAH,4,4,,440090001,Idaho Elections Division,
330090002,BENEWAH,5,5,,440090002,Idaho Elections Division,
330090003,BENEWAH,7,7,,440090003,Idaho Elections Division,
330090004,BENEWAH,6,6,,440090004,Idaho Elections Division,
330090005,BENEWAH,1,1,,440090005,Idaho Elections Division,
330090006,BENEWAH,2,2,,440090006,Idaho Elections Division,
330090007,BENEWAH,3,3,,440090007,Idaho Elections Division,
330090008,BENEWAH,8,8,,440090008,Idaho Elections Division,
330090009,BENEWAH,9,9,,440090009,Idaho Elections Division,
330090010,BENEWAH,11,11,,440090010,Idaho Elections Division,
330090011,BENEWAH,10,10,,440090011,Idaho Elections Division,
330110001,BINGHAM,15,15,,440110001,Idaho Elections Division,
330110002,BINGHAM,6,6,,440110002,Idaho Elections Division,
330110003,BINGHAM,4,4,,440110003,Idaho Elections Division,
330110004,BINGHAM,9,9,,440110004,Idaho Elections Division,
330110005,BINGHAM,22,22,,440110004,Idaho Elections Division,
330110006,BINGHAM,11,11,,440110005,Idaho Elections Division,
330110007,BINGHAM,25,25,,440110005,Idaho Elections Division,
330110008,BINGHAM,1,1,,440110006,Idaho Elections Division,
330110009,BINGHAM,2,2,,440110006,Idaho Elections Division,
330110010,BINGHAM,3,3,,440110006,Idaho Elections Division,
330110011,BINGHAM,23,23,,440110006,Idaho Elections Division,
330110012,BINGHAM,5,5,,440110007,Idaho Elections Division,
330110013,BINGHAM,17,17,,440110008,Idaho Elections Division,
330110014,BINGHAM,24,24,,440110008,Idaho Elections Division,
330110015,BINGHAM,12,12,,440110009,Idaho Elections Division,
330110016,BINGHAM,18,18,,440110009,Idaho Elections Division,
330110017,BINGHAM,19,19,,440110010,Idaho Elections Division,
330110018,BINGHAM,7,7,,440110011,Idaho Elections Division,
330110019,BINGHAM,8,8,,440110011,Idaho Elections Division,
